n_layers,n_neurons,learning_rate,batch_size,val_accuracy,error,time_s,co2_kg
4,32,0.0001,128,0.7705761316872428,0.22942386831275718,0.4211273193359375,3.29051000933315e-06
1,128,0.001,256,0.7870370370370371,0.2129629629629629,0.24787521362304688,3.036925347579509e-06
1,32,0.0001,128,0.6954732510288066,0.30452674897119336,0.16492509841918945,2.9480330456082725e-06
3,32,0.001,32,0.7880658436213992,0.2119341563786008,0.83599853515625,3.892251297728409e-06
4,128,0.0001,256,0.7890946502057613,0.2109053497942387,2.3228702545166016,6.269653164865054e-06
6,32,0.005,128,0.7829218106995884,0.21707818930041156,0.5775065422058105,3.4817611017366392e-06
4,256,0.0005,32,0.8004115226337448,0.19958847736625518,15.518445253372192,2.6189504671230746e-05
1,32,0.05,128,0.7808641975308642,0.21913580246913578,0.15190649032592773,2.9283498597682975e-06
6,512,0.0001,32,0.808641975308642,0.191358024691358,215.5223400592804,0.0003340453173250063
3,256,0.005,32,0.7777777777777778,0.2222222222222222,11.03685450553894,1.9861153214106934e-05
1,128,0.0001,128,0.7510288065843621,0.2489711934156379,0.3125011920928955,3.125885571178832e-06
2,64,0.005,64,0.8055555555555556,0.19444444444444442,0.5327794551849365,3.42208768564027e-06
5,32,0.05,256,0.7932098765432098,0.20679012345679015,0.3347938060760498,2.7526583106042895e-06
1,32,0.001,128,0.7788065843621399,0.2211934156378601,0.1585710048675537,2.9119392762383743e-06
4,32,0.001,128,0.7911522633744856,0.20884773662551437,0.4200620651245117,3.2729797255048984e-06
3,32,0.01,64,0.7818930041152263,0.21810699588477367,0.49541354179382324,3.361958771981665e-06
1,64,0.05,128,0.7623456790123457,0.23765432098765427,0.1779804229736328,2.935404972512351e-06
6,32,0.01,32,0.7993827160493827,0.2006172839506173,1.3376171588897705,4.932290483403402e-06
1,256,0.01,16,0.7860082304526749,0.21399176954732513,1.0481617450714111,4.315672588365808e-06
3,256,0.01,64,0.801440329218107,0.19855967078189296,8.850494623184204,1.6745077965192916e-05
1,64,0.0001,128,0.7417695473251029,0.2582304526748971,0.19828367233276367,2.975487760410045e-06
5,256,0.0005,128,0.801440329218107,0.19855967078189296,15.637386322021484,2.8759573140750168e-05
1,128,0.005,128,0.7962962962962963,0.20370370370370372,0.29441094398498535,2.2665688871397206e-06
1,256,0.0001,16,0.7860082304526749,0.21399176954732513,1.2138864994049072,4.318770516904459e-06
2,256,0.0005,32,0.801440329218107,0.19855967078189296,7.04349160194397,1.3598168563305508e-05
5,128,0.0001,256,0.7921810699588477,0.20781893004115226,2.8504433631896973,7.36482904698444e-06
2,32,0.01,32,0.7829218106995884,0.21707818930041156,0.6002845764160156,3.509460514490426e-06
1,32,0.0005,64,0.7746913580246914,0.22530864197530864,0.24472689628601074,3.064243399894197e-06
1,128,0.0001,256,0.727366255144033,0.27263374485596703,0.24572515487670898,3.031504650881416e-06
2,32,0.001,64,0.7890946502057613,0.2109053497942387,0.36668944358825684,3.222320425354641e-06
5,256,0.0005,256,0.7849794238683128,0.21502057613168724,10.194103240966797,1.956263731831097e-05
1,128,0.01,64,0.7932098765432098,0.20679012345679015,0.37623119354248047,3.240391199294343e-06
6,64,0.005,128,0.7942386831275721,0.20576131687242794,1.7862937450408936,5.290287444174164e-06
1,256,0.005,128,0.8065843621399177,0.1934156378600823,0.4751737117767334,3.372348806964099e-06
1,512,0.01,256,0.7911522633744856,0.20884773662551437,1.1632091999053955,4.574169868323829e-06
2,64,0.05,64,0.7767489711934157,0.22325102880658432,0.490398645401001,3.3769514196853645e-06
6,32,0.001,32,0.7860082304526749,0.21399176954732513,1.42946457862854,4.794856370453387e-06
1,512,0.0001,64,0.7808641975308642,0.21913580246913578,0.9621319770812988,4.146258033232709e-06
4,256,0.01,128,0.8055555555555556,0.19444444444444442,10.775083541870117,2.0779097548494665e-05
1,256,0.001,128,0.7911522633744856,0.20884773662551437,0.47928524017333984,3.354389230704043e-06
6,256,0.0001,32,0.8117283950617284,0.18827160493827155,26.796491146087646,4.403500603038839e-05
1,32,0.0005,128,0.7685185185185185,0.2314814814814815,0.15693283081054688,2.7697504658013863e-06
4,512,0.01,256,0.8168724279835391,0.1831275720164609,23.87106466293335,4.090738598163173e-05
1,32,0.0005,256,0.7551440329218106,0.24485596707818935,0.11619806289672852,2.910563280051542e-06
3,32,0.001,64,0.7870370370370371,0.2129629629629629,0.5118935108184814,3.3987792075866754e-06
1,128,0.05,16,0.7685185185185185,0.2314814814814815,0.8780231475830078,3.970137019849303e-06
1,256,0.0001,128,0.7674897119341564,0.23251028806584362,0.4784882068634033,3.3682370716940653e-06
1,32,0.05,256,0.7932098765432098,0.20679012345679015,0.10874223709106445,2.8668626985501755e-06
4,128,0.005,128,0.7921810699588477,0.20781893004115226,2.777132272720337,6.932110244094204e-06
1,128,0.005,256,0.7880658436213992,0.2119341563786008,0.24787020683288574,3.0558923549931566e-06
4,64,0.001,128,0.7983539094650206,0.2016460905349794,1.041025161743164,4.273387140245326e-06
1,256,0.0005,128,0.7880658436213992,0.2119341563786008,0.48453712463378906,3.372892159055934e-06
4,32,0.01,64,0.7808641975308642,0.21913580246913578,0.6102590560913086,3.54139174803122e-06
3,32,0.005,32,0.7932098765432098,0.20679012345679015,0.8303022384643555,3.8565782547070605e-06
1,64,0.0005,32,0.7901234567901234,0.2098765432098766,0.48218679428100586,3.3797701035844954e-06
4,256,0.005,64,0.7860082304526749,0.21399176954732513,13.328304052352905,2.5088497050499986e-05
1,32,0.01,128,0.7818930041152263,0.21810699588477367,0.15688586235046387,2.9336598737111185e-06
2,256,0.05,64,0.7818930041152263,0.21810699588477367,6.087222099304199,1.2768690221952537e-05
2,256,0.005,64,0.8127572016460906,0.18724279835390945,6.302340507507324,1.3077666915844905e-05
2,512,0.005,128,0.8024691358024691,0.19753086419753085,12.978031873703003,2.3700522542659594e-05
1,128,0.0005,256,0.7777777777777778,0.2222222222222222,0.24574923515319824,3.062072897637059e-06
1,128,0.001,16,0.8024691358024691,0.19753086419753085,0.9320566654205322,4.04926507693428e-06
1,128,0.001,64,0.7921810699588477,0.20781893004115226,0.3920857906341553,3.2535370255700013e-06
1,128,0.005,64,0.7973251028806584,0.2026748971193416,0.39338040351867676,3.2597969887159434e-06
3,32,0.0005,64,0.7880658436213992,0.2119341563786008,0.5050144195556641,3.4128692188888276e-06
1,64,0.005,128,0.7911522633744856,0.20884773662551437,0.2034158706665039,3.0126231127254043e-06
1,32,0.0001,256,0.668724279835391,0.33127572016460904,0.12333321571350098,2.888352531399316e-06
4,32,0.01,32,0.7890946502057613,0.2109053497942387,0.9677422046661377,4.1718932898711416e-06
1,64,0.01,128,0.7860082304526749,0.21399176954732513,0.20940876007080078,3.009502219869505e-06
5,256,0.001,256,0.7983539094650206,0.2016460905349794,10.23979926109314,2.0054209404418493e-05
2,256,0.01,32,0.8034979423868313,0.19650205761316875,6.359795570373535,1.2683949868500326e-05
6,256,0.005,128,0.7890946502057613,0.2109053497942387,17.63691210746765,3.2589318263006216e-05
4,512,0.0001,128,0.7942386831275721,0.20576131687242794,40.35616111755371,6.464461916694933e-05
2,512,0.001,32,0.808641975308642,0.191358024691358,44.18041229248047,7.25652971631573e-05
3,32,0.005,64,0.7860082304526749,0.21399176954732513,0.5010802745819092,3.019852074908851e-06
4,64,0.05,128,0.7870370370370371,0.2129629629629629,0.8400952816009521,3.847492890792235e-06
1,32,0.005,256,0.7880658436213992,0.2119341563786008,0.11573910713195801,2.8811992795591977e-06
1,64,0.0005,128,0.779835390946502,0.220164609053498,0.19939327239990234,2.674149176801428e-06
4,512,0.001,256,0.8127572016460906,0.18724279835390945,21.5798282623291,3.8145578065215434e-05
2,128,0.001,128,0.7911522633744856,0.20884773662551437,1.4580464363098145,5.037160695377813e-06
1,128,0.005,16,0.7911522633744856,0.20884773662551437,0.947845458984375,4.127939824426647e-06
4,512,0.001,128,0.7818930041152263,0.21810699588477367,36.576112508773804,5.8759196510939646e-05
6,32,0.0005,128,0.7870370370370371,0.2129629629629629,0.5884990692138672,3.522494580622522e-06
4,32,0.01,256,0.7911522633744856,0.20884773662551437,0.3194150924682617,3.1602170590365435e-06
1,64,0.001,128,0.7890946502057613,0.2109053497942387,0.2172708511352539,3.026588320550819e-06
2,128,0.01,64,0.7952674897119342,0.20473251028806583,1.5155432224273682,5.162993766516086e-06
1,256,0.001,256,0.7849794238683128,0.21502057613168724,0.47670602798461914,3.3390753521284304e-06
5,512,0.005,256,0.7880658436213992,0.2119341563786008,27.779358625411987,4.775873421814833e-05
5,32,0.0005,128,0.801440329218107,0.19855967078189296,0.5183200836181641,3.443649201802504e-06
4,128,0.001,64,0.7880658436213992,0.2119341563786008,3.7898097038269043,8.609195729869815e-06
1,512,0.0001,128,0.7757201646090535,0.22427983539094654,0.9693253040313721,4.171617647333482e-06
4,64,0.001,256,0.7901234567901234,0.2098765432098766,0.8228871822357178,3.862404786506031e-06
1,32,0.005,128,0.7818930041152263,0.21810699588477367,0.1529102325439453,2.5327589191303485e-06
1,32,0.001,256,0.7736625514403292,0.22633744855967075,0.11716461181640625,2.8795934772234175e-06
4,32,0.005,64,0.7973251028806584,0.2026748971193416,0.6075220108032227,3.543419294304696e-06
4,256,0.005,32,0.779835390946502,0.220164609053498,15.401209115982056,4.942948405949725e-05
1,64,0.005,64,0.779835390946502,0.220164609053498,0.2965250015258789,3.1387962178062352e-06
2,512,0.005,64,0.7952674897119342,0.20473251028806583,23.614793300628662,3.970770877473454e-05
2,256,0.005,128,0.8034979423868313,0.19650205761316875,4.461981534957886,1.0036916343395618e-05
6,32,0.0001,32,0.7911522633744856,0.20884773662551437,1.3976314067840576,4.998548351096769e-06
4,32,0.001,256,0.7870370370370371,0.2129629629629629,0.3164815902709961,3.138055997900756e-06
1,128,0.0005,128,0.7829218106995884,0.21707818930041156,0.2935750484466553,3.0979488460046472e-06
