n_layers,n_neurons,learning_rate,batch_size,val_accuracy,error,time_s,co2_kg
4,32,0.0001,32,0.7808641975308642,0.21913580246913578,1.3774306774139404,3.7220047352183063e-06
1,32,0.01,256,0.7860082304526749,0.21399176954732513,0.1605541706085205,1.724727588101149e-06
5,32,0.001,128,0.7932098765432098,0.20679012345679015,0.7458195686340332,2.7064776022761417e-06
1,32,0.001,64,0.7880658436213992,0.2119341563786008,0.3624429702758789,2.0820735364940697e-06
3,64,0.005,32,0.7962962962962963,0.20370370370370372,1.5793442726135254,4.05218563155691e-06
1,512,0.05,128,0.7849794238683128,0.21502057613168724,0.8884241580963135,2.927040557691239e-06
5,128,0.01,256,0.7921810699588477,0.20781893004115226,8.111243724822998,1.572641415037813e-05
2,64,0.0001,64,0.7870370370370371,0.2129629629629629,0.7957744598388672,2.7764575680048046e-06
2,256,0.0001,128,0.7870370370370371,0.2129629629629629,7.332012176513672,1.4052339119015103e-05
1,512,0.005,128,0.7993827160493827,0.2006172839506173,1.2551956176757812,3.5048914860508486e-06
3,256,0.0005,16,0.7911522633744856,0.20884773662551437,21.914432287216187,3.6573324431228997e-05
1,512,0.0001,256,0.7592592592592593,0.2407407407407407,1.675926923751831,4.185425206137923e-06
1,64,0.0005,256,0.779835390946502,0.220164609053498,0.2042527198791504,1.8112781516690452e-06
5,128,0.0001,256,0.7921810699588477,0.20781893004115226,8.656919956207275,1.7004123191417525e-05
1,32,0.005,128,0.7818930041152263,0.21810699588477367,0.20087456703186035,1.8072362291829693e-06
2,512,0.005,64,0.7952674897119342,0.20473251028806583,39.43087100982666,6.587254796714481e-05
4,32,0.001,32,0.7973251028806584,0.2026748971193416,1.5446867942810059,4.02089087615131e-06
2,256,0.0005,64,0.8189300411522634,0.18106995884773658,10.134748458862305,1.9231680314998593e-05
3,64,0.0001,16,0.7962962962962963,0.20370370370370372,2.1984639167785645,5.084108729881079e-06
1,256,0.001,16,0.7932098765432098,0.20679012345679015,1.3069725036621094,3.6239298662852043e-06
3,256,0.0005,64,0.8004115226337448,0.19958847736625518,15.363547563552856,5.249484800813638e-05
4,128,0.05,256,0.7921810699588477,0.20781893004115226,2.343173027038574,5.528068621138405e-06
