layers,lr,batch,val_acc,error,time_s,co2_kg
"(512,)",0.001,256,0.7932098765432098,0.20679012345679015,1.2987327575683594,4.850173480790323e-06
"(512,)",0.005,16,0.7911522633744856,0.20884773662551437,2.3073666095733643,5.97242834048028e-06
"(512,)",0.005,32,0.7860082304526749,0.21399176954732513,1.4705088138580322,5.007070358812695e-06
"(512,)",0.005,64,0.7890946502057613,0.2109053497942387,1.1273770332336426,4.469994661031038e-06
"(512,)",0.005,128,0.7993827160493827,0.2006172839506173,1.3341891765594482,4.9376653797335755e-06
"(512,)",0.005,256,0.7973251028806584,0.2026748971193416,1.5186498165130615,5.1123529666246345e-06
"(512,)",0.01,16,0.7890946502057613,0.2109053497942387,2.003990650177002,5.3848674514530174e-06
"(512,)",0.01,32,0.7870370370370371,0.2129629629629629,1.3580710887908936,4.554057449947397e-06
"(512,)",0.01,64,0.779835390946502,0.220164609053498,0.9846293926239014,4.193653762404493e-06
"(512,)",0.01,128,0.7973251028806584,0.2026748971193416,1.0558347702026367,3.6269814154658734e-06
"(512,)",0.01,256,0.7911522633744856,0.20884773662551437,1.26387619972229,4.5325287335771074e-06
"(512,)",0.05,16,0.7417695473251029,0.2582304526748971,1.8591203689575195,5.652895841597695e-06
"(512,)",0.05,32,0.7664609053497943,0.23353909465020573,1.2948870658874512,4.880768229096781e-06
"(512,)",0.05,64,0.7788065843621399,0.2211934156378601,0.9848332405090332,4.2020866426403565e-06
"(512,)",0.05,128,0.7849794238683128,0.21502057613168724,0.8621068000793457,3.938886093212958e-06
"(512,)",0.05,256,0.7777777777777778,0.2222222222222222,1.1603126525878906,4.5767037893843105e-06
"(32, 32)",0.0001,16,0.779835390946502,0.220164609053498,2.0039658546447754,5.712865954020475e-06
"(32, 32)",0.0001,32,0.7849794238683128,0.21502057613168724,0.9103717803955078,4.029457740406441e-06
"(32, 32)",0.0001,64,0.7777777777777778,0.2222222222222222,0.7122399806976318,3.6519393311354166e-06
"(32, 32)",0.0001,128,0.7746913580246914,0.22530864197530864,0.3673868179321289,3.2311842103881065e-06
"(32, 32)",0.0001,256,0.7386831275720165,0.2613168724279835,0.3091733455657959,3.151591453831102e-06
"(32, 32)",0.0005,16,0.7860082304526749,0.21399176954732513,1.579136848449707,5.23961173655186e-06
"(32, 32)",0.0005,32,0.7880658436213992,0.2119341563786008,0.9445233345031738,4.056433152201425e-06
"(32, 32)",0.0005,64,0.7849794238683128,0.21502057613168724,0.5608108043670654,3.4619419407124995e-06
"(32, 32)",0.0005,128,0.7829218106995884,0.21707818930041156,0.2971930503845215,3.096689922457676e-06
"(32, 32)",0.0005,256,0.7870370370370371,0.2129629629629629,0.24491500854492188,2.9371126190592143e-06
"(32, 32)",0.001,16,0.7911522633744856,0.20884773662551437,1.6840221881866455,5.374863451884437e-06
"(32, 32)",0.001,32,0.7962962962962963,0.20370370370370372,1.0977139472961426,4.172537983239409e-06
"(32, 32)",0.001,64,0.7890946502057613,0.2109053497942387,0.5702714920043945,2.9697496584891938e-06
"(32, 32)",0.001,128,0.7932098765432098,0.20679012345679015,0.4364757537841797,3.2975012313242558e-06
"(32, 32)",0.001,256,0.7880658436213992,0.2119341563786008,0.31576061248779297,3.1466858382051962e-06
"(32, 32)",0.005,16,0.8024691358024691,0.19753086419753085,1.9350817203521729,5.16347572212407e-06
"(32, 32)",0.005,32,0.7870370370370371,0.2129629629629629,1.1423497200012207,4.552368791521765e-06
"(32, 32)",0.005,64,0.7849794238683128,0.21502057613168724,0.4694502353668213,3.4047123554584805e-06
"(32, 32)",0.005,128,0.7952674897119342,0.20473251028806583,0.3393232822418213,2.937136441562469e-06
"(32, 32)",0.005,256,0.8004115226337448,0.19958847736625518,0.29683899879455566,3.1244808621730346e-06
"(32, 32)",0.01,16,0.7788065843621399,0.2211934156378601,1.7971477508544922,5.52665469911062e-06
"(32, 32)",0.01,32,0.7829218106995884,0.21707818930041156,1.0080554485321045,4.206708960903531e-06
"(32, 32)",0.01,64,0.7839506172839507,0.21604938271604934,0.597296953201294,3.501728611913316e-06
"(32, 32)",0.01,128,0.7911522633744856,0.20884773662551437,0.3357508182525635,3.180148027706933e-06
"(32, 32)",0.01,256,0.8117283950617284,0.18827160493827155,0.3090088367462158,3.1260364288961806e-06
"(32, 32)",0.05,16,0.7458847736625515,0.25411522633744854,1.2867553234100342,4.849301278002815e-06
"(32, 32)",0.05,32,0.7314814814814815,0.2685185185185185,1.0499777793884277,4.35473057103725e-06
"(32, 32)",0.05,64,0.7736625514403292,0.22633744855967075,0.6294522285461426,3.5554026407999694e-06
"(32, 32)",0.05,128,0.7777777777777778,0.2222222222222222,0.3180224895477295,3.126477283029448e-06
"(32, 32)",0.05,256,0.7818930041152263,0.21810699588477367,0.22278904914855957,3.0199099672835484e-06
"(64, 64)",0.0001,16,0.7932098765432098,0.20679012345679015,1.8919026851654053,5.654763674635376e-06
"(64, 64)",0.0001,32,0.7901234567901234,0.2098765432098766,1.1561520099639893,4.589153165473479e-06
"(64, 64)",0.0001,64,0.7870370370370371,0.2129629629629629,0.7779524326324463,3.7508435307972946e-06
"(64, 64)",0.0001,128,0.7736625514403292,0.22633744855967075,0.7960035800933838,3.8148827468106e-06
"(64, 64)",0.0001,256,0.7582304526748971,0.24176954732510292,0.6001641750335693,3.53535758612852e-06
"(64, 64)",0.0005,16,0.8004115226337448,0.19958847736625518,1.8645496368408203,5.616179586359263e-06
"(64, 64)",0.0005,32,0.7942386831275721,0.20576131687242794,1.062711238861084,4.358564180215531e-06
"(64, 64)",0.0005,64,0.7942386831275721,0.20576131687242794,0.6746153831481934,3.3971595858340853e-06
"(64, 64)",0.0005,128,0.7942386831275721,0.20576131687242794,0.6839280128479004,3.65102922626946e-06
"(64, 64)",0.0005,256,0.7890946502057613,0.2109053497942387,0.5824868679046631,3.5009448643596052e-06
"(64, 64)",0.001,16,0.7962962962962963,0.20370370370370372,1.8840336799621582,5.120557698241982e-06
"(64, 64)",0.001,32,0.7993827160493827,0.2006172839506173,1.1174497604370117,4.287482291679991e-06
"(64, 64)",0.001,64,0.7911522633744856,0.20884773662551437,0.7354288101196289,3.716280566903227e-06
"(64, 64)",0.001,128,0.8024691358024691,0.19753086419753085,0.7400760650634766,3.2888254989751074e-06
"(64, 64)",0.001,256,0.7921810699588477,0.20781893004115226,0.540851354598999,3.4640149746999665e-06
"(64, 64)",0.005,16,0.7952674897119342,0.20473251028806583,2.0603463649749756,5.857242227718929e-06
"(64, 64)",0.005,32,0.7983539094650206,0.2016460905349794,1.0658397674560547,4.374747690749633e-06
"(64, 64)",0.005,64,0.8055555555555556,0.19444444444444442,0.6628460884094238,3.616497818999175e-06
